"","Longitude","Latitude"
"1",115.554208508357,-31.4593123739167
"2",115.864894637295,-31.4577117023649
"3",115.861411608943,-31.6256326887916
"4",116.149109750762,-31.6240348667503
"5",116.151199567773,-31.6975062687494
"6",116.356698240501,-31.7054887890547
"7",116.349035578128,-31.9080142218426
"8",116.411033482782,-31.9048282877296
"9",116.411730088452,-32.0178613631101
"10",116.32813740802,-32.0130881336995
"11",116.32813740802,-32.063989759006
"12",116.286341067804,-32.0655799787283
"13",116.289824096156,-32.1672964986774
"14",116.356001634831,-32.2355735819177
"15",116.225736374491,-32.2355735819177
"16",116.190906090978,-32.286351164169
"17",116.261959869345,-32.392574661118
"18",116.261959869345,-32.4590989041215
"19",115.74647167335,-32.4559321958236
"20",115.743685250669,-32.4115865940667
"21",115.731146348604,-32.3894056163902
"22",115.709551572826,-32.3767283255872
"23",115.710248178496,-32.3608792107621
"24",115.725573503242,-32.3577090543456
"25",115.739505616647,-32.3450273173683
"26",115.736719193966,-32.326001378608
"27",115.719304052209,-32.3117293002331
"28",115.697709276431,-32.3101433749217
"29",115.692833036739,-32.2895238197588
"30",115.680990740345,-32.2625527093386
"31",115.69492285375,-32.260965923732
"32",115.708854967155,-32.2673128997125
"33",115.729056531593,-32.2625527093386
"34",115.743685250669,-32.2466836050715
"35",115.756224152733,-32.2355735819177
"36",115.749258096031,-32.2181122291267
"37",115.768763054798,-32.1911199050874
"38",115.765280026447,-32.1704733129728
"39",115.754830941393,-32.1450556969449
"40",115.735325982625,-32.129166087549
"41",115.751347913041,-32.108505457487
"42",115.74647167335,-32.0798907119363
"43",115.724876897571,-32.0592189339528
"44",115.729753137263,-32.0305887592468
"45",115.744381856339,-32.0194523843281
"46",115.74786488469,-31.8458686188614
"47",115.733932771285,-31.82833279496
"48",115.723483686231,-31.8091990051807
"49",115.726270108912,-31.7773005472792
"50",115.712337995507,-31.7326242190849
"51",115.683777163026,-31.6767485016871
"52",115.662878992918,-31.6272304833931
"53",115.612026778989,-31.5457079890393
"54",115.586948974859,-31.5137189229277
"55",115.570230438773,-31.4817189025857
"56",115.553511902686,-31.4577117023649
"57",115.553511902686,-31.4577117023649
"58",115.554208508357,-31.4609130181095
"59",115.554208508357,-31.4609130181095
"60",115.554208508357,-31.4609130181095
"61",115.554208508357,-31.4609130181095
"62",115.554208508357,-31.4609130181095
"63",115.554208508357,-31.4609130181095
"64",115.554208508357,-31.4609130181095
"65",115.554208508357,-31.4609130181095
"66",115.556298325368,-31.4625136349425
"67",115.555601719697,-31.4593123739167
"68",115.555601719697,-31.4593123739167
"69",115.555601719697,-31.4593123739167
"70",115.555601719697,-31.4593123739167
